Date_InitialTag,Date_Sampled,TransectName,TransectNum,OldTag,NewTag,Species,Meter,Meters_90,Direction,MaxDiameter,Height,PercentMortality,SampleNum_CoreEtOH,SampleNum_CoreRNA,SampleNum_TEM,Condition,Notes
7/10/22,7/10/22,Jigsaw_Puzzle,3,,46,CNAT,-1,7,left,50,10,25,13,40,3,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,44,OFAV,3.8,2.5,left,65,40,60,14,41,2,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,30,OFAV,14.5,6.2,right,105,45,20,15,42,5,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,28,PSTR,16.3,6.4,right,100,95,30,16,43,4,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,32,PSTR,30.6,3.5,right,55,25,2,1,28,7,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,38,OFAV,34.4,7.6,right,65,25,5,2,29,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,34,CNAT,33.8,7,right,110,25,30,3,30,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,36,PSTR,38,3.5,right,35,25,10,4,31,,,growth anomaly
7/10/22,7/10/22,Jigsaw_Puzzle,3,,40,CNAT,40,3,left,120,55,60,5,32,,,looks like there was physical damage a long time ago
7/10/22,7/10/22,Jigsaw_Puzzle,3,,42,PSTR,34.4,3.3,left,20,10,0,6,33,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,26,CNAT,10.7,2.5,left,65,35,30,17,34,1,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,27,MCAV,3.2,3.5,right,35,38,0,19,46,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,29,SSID,5,0.3,right,40,15,10,20,47,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,31,SSID,10.3,3.2,right,65,40,0,23,50,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,33,PAST,13.2,3.5,right,35,25,0,22,49,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,35,MCAV,13,2,right,25,25,0,21,48,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,37,PAST,16.4,2.5,left,35,5,0,24,52,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,39,PAST,14.9,3.5,left,24,4,0,25,51,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,41,MCAV,29.4,2.5,left,10,22,0,26,53,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,43,SSID,32.4,3.5,left,35,23,0,12,39,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,45,PAST,33.5,1.3,right,35,5,0,11,38,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,47,MCAV,31,3.5,right,35,15,0,10,37,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,49,SSID,30.6,1.4,right,35,25,0,27,54,,,
7/8/22,7/9/22,Sailfin,1,,82,CNAT,3.4,2.4,left,50,10,5,38,3,,could be same genotype 81,
7/8/22,7/9/22,Sailfin,1,,81,CNAT,3.4,3.7,left,90,30,5,37,2,,could be same genotype 82,
7/8/22,7/9/22,Sailfin,1,,83,OFAV,5,0.5,left,105,95,1,42,4,,,
7/8/22,7/9/22,Sailfin,1,,98,OFAV,4.3,2,right,50,30,40,26,17,,,
7/8/22,7/9/22,Sailfin,1,,84,PAST,5.9,0.5,left,56,40,10,43,5,,,
