"","UniqueID","Experiment","Year","Site.x","Treatment1_Density","Treatment2_Diversity","Color_Bucket","Number.x","Species.x","RFTM_score.x","peacrabs.x","Date_pre","Site.y","Treatment","Color","Number.y","Species.y","Length_pre","Width_pre","Height_pre","Weight_pre","Length_post","Width_post","Height_post","Weight_post","RFTM_date","RFTM_score.y","peacrabs.y","LiveMM","Treatment2","Colornumber"
"1","2017_NW_HIGH_MONO_B1_CV","Field17",2017,"NW","HIGH","MONO","B",1,"CV",1,0,"5/29/2017","NW","HL","B","1","CV","18.2","21.1","5.8","0.8","51.72",39.99,"23.44",22.78,"9/27-10/4","1",NA,0,"HIGH_MONO","B1"
"2","2017_NW_HIGH_MONO_B11_CV","Field17",2017,"NW","HIGH","MONO","B",11,"CV",2,0,"5/29/2017","NW","HL","B","11","CV","24.2","18.1","5.8","1.45","65.99",32.67,"19.69",21.48,"9/27-10/4","2",NA,0,"HIGH_MONO","B11"
"3","2017_NW_HIGH_MONO_B12_CV","Field17",2017,"NW","HIGH","MONO","B",12,"CV",0,0,"5/29/2017","NW","HL","B","12","CV","24.4","16.8","7.15","1.26","68.82",41.43,"22.92",23.75,"9/27-10/4","0",NA,0,"HIGH_MONO","B12"
"4","2017_NW_HIGH_MONO_B14_CV","Field17",2017,"NW","HIGH","MONO","B",14,"CV",1,0,"5/29/2017","NW","HL","B","14","CV","21.1","20","5.8","1","56.17",41.03,"22.82",27.56,"9/27-10/4","1",NA,0,"HIGH_MONO","B14"
"5","2017_NW_HIGH_MONO_B18_CV","Field17",2017,"NW","HIGH","MONO","B",18,"CV",4,0,"5/29/2017","NW","HL","B","18","CV","25","20.08","6","1.63","71.11",41.94,"25.15",33.37,"9/27-10/4","4",NA,0,"HIGH_MONO","B18"
"6","2017_NW_HIGH_MONO_P1_CV","Field17",2017,"NW","HIGH","MONO","P",1,"CV",1,0,"5/29/2017","NW","HL","P","1","CV","19.25","20","6.3","1.08","78.18",44.58,"20.32",34.33,"9/25-10/2","1",NA,0,"HIGH_MONO","P1"
"7","2017_NW_HIGH_MONO_P12_CV","Field17",2017,"NW","HIGH","MONO","P",12,"CV",2,0,"5/29/2017","NW","HL","P","12","CV","21.8","20.6","6.5","1.32","42.36",37.83,"17.76",20.54,"9/25-10/2","2",NA,0,"HIGH_MONO","P12"
"8","2017_NW_HIGH_MONO_P14_CV","Field17",2017,"NW","HIGH","MONO","P",14,"CV",2,1,"5/29/2017","NW","HL","P","14","CV","22.55","21","7.7","1.49","53.82",48.02,"20.56",29.11,"9/25-10/2","2",1,0,"HIGH_MONO","P14"
"9","2017_NW_HIGH_MONO_P16_CV","Field17",2017,"NW","HIGH","MONO","P",16,"CV",2,0,"5/29/2017","NW","HL","P","16","CV","27.5","18.95","6.8","1.66","77.38",39.74,"23.32",29.2,"9/25-10/2","2",NA,0,"HIGH_MONO","P16"
"10","2017_NW_HIGH_MONO_P8_CV","Field17",2017,"NW","HIGH","MONO","P",8,"CV",0,0,"5/29/2017","NW","HL","P","8","CV","22.7","20.06","5.65","1.34","60.51",41.39,"18.14",25.66,"9/25-10/2","0",NA,0,"HIGH_MONO","P8"
"11","2017_NW_HIGH_MONO_P9_CV","Field17",2017,"NW","HIGH","MONO","P",9,"CV",3,1,"5/29/2017","NW","HL","P","9","CV","20.5","18.7","7","0.95","40.38",33.17,"12.41",7.88,"9/25-10/2","3",1,0,"HIGH_MONO","P9"
"12","2017_NW_HIGH_MONO_R18_CV","Field17",2017,"NW","HIGH","MONO","R",18,"CV",1,1,"5/29/2017","NW","HL","R","18","CV","21.1","17.7","5.6","0.9","61.79",49.86,"17.84",28.94,"9/27-10/4","1",1,0,"HIGH_MONO","R18"
