"","X.2","UniqueID","Experiment","Year","Treatment1_Density","Treatment2_Diversity","Color_Bucket","Number","RFTM_score.x","peacrabs","Species2.x","Bucket","Color.Number","Old.New","Length_pre","Width_pre","Height_pre","Weight","Length_post","Width_post","Height_post","Weight_post","live_barnacles","dead_barnacles","polydora_scars","RFTM_score.y","Species2.y","Bucket2","Bucket_colnum","Height_diff","Width_diff","Length_diff","Weight_diff","Weight_delta","Height_delta","Width_delta","Length_delta","Volume_pre","Volume_post","Volume_delta","Volume_scale"
"1","2018_HIGH_MONO_HM1O73_CV","2018_HIGH_MONO_HM1O73_CV","Lab18",2018,"HIGH","MONO","HM1","O73",0,0,"CV","HM1","O73","NEW",40.46,27.61,13.19,5.87,53.69,30.95,13.96,16.6,0,0,0,0,"CV","HIGH_MONO","HM1O73",0.770000000000001,3.34,13.23,10.73,1.82793867120954,0.0583775587566339,0.120970662803332,0.326989619377163,14734.556914,23197.40878,0.574354011144987,0.0831011096012174
"2","2018_HIGH_MONO_HM1W15_CV","2018_HIGH_MONO_HM1W15_CV","Lab18",2018,"HIGH","MONO","HM1","W15",0,0,"CV","HM1","W15","OLD",40.32,23.04,11.2,4.25,42.75,28.85,9.35,8.54,0,0,0,0,"CV","HIGH_MONO","HM1W15",-1.85,5.81,2.43,4.29,1.00941176470588,-0.165178571428571,0.252170138888889,0.0602678571428571,10404.49536,11531.705625,0.108338773385738,-0.527501258772026
"3","2018_HIGH_MONO_HM1W33_CV","2018_HIGH_MONO_HM1W33_CV","Lab18",2018,"HIGH","MONO","HM1","W33",0,0,"CV","HM1","W33","OLD",47.13,30.3,13.86,10.52,47.49,30.61,13.32,15.56,0,0,0,0,"CV","HIGH_MONO","HM1W33",-0.539999999999999,0.309999999999999,0.359999999999999,5.04,0.479087452471483,-0.0389610389610389,0.0102310231023102,0.00763844684914066,19792.62054,19362.869748,-0.0217126777695503,-0.697902820033464
"4","2018_HIGH_MONO_HM1W96_CV","2018_HIGH_MONO_HM1W96_CV","Lab18",2018,"HIGH","MONO","HM1","W96",0,0,"CV","HM1","W96","OLD",42.01,34.34,13.93,7.66,42.77,36.24,13.56,13.52,0,0,0,0,"CV","HIGH_MONO","HM1W96",-0.369999999999999,1.9,0.760000000000005,5.86,0.765013054830287,-0.0265613783201722,0.0553290623179965,0.0180909307307785,20095.743962,21017.793888,0.0458828460266787,-0.609334928734746
"5","2018_HIGH_MONO_HM4Y44_CV","2018_HIGH_MONO_HM4Y44_CV","Lab18",2018,"HIGH","MONO","HM4","Y44",0,NA,"CV","HM4","Y44","NEW",27.32,20.28,10.03,2,NA,NA,NA,NA,NA,NA,NA,0,"CV","HIGH_MONO","HM4Y44",NA,NA,NA,NA,NA,NA,NA,NA,5557.117488,NA,NA,NA
"6","2018_HIGH_MONO_HM4Y53_CV","2018_HIGH_MONO_HM4Y53_CV","Lab18",2018,"HIGH","MONO","HM4","Y53",0,NA,"CV","HM4","Y53","NEW",26.82,18.9,10.37,2.36,62.36,34.64,12.51,18.85,0,0,0,0,"CV","HIGH_MONO","HM4Y53",2.14,15.74,35.54,16.49,6.98728813559322,0.206364513018322,0.832804232804233,1.32513049962714,5256.53226,27023.481504,4.1409332554919,4.75625674301024
"7","2018_HIGH_MONO_HM8O20_CV","2018_HIGH_MONO_HM8O20_CV","Lab18",2018,"HIGH","MONO","HM8","O20",0,NA,"CV","HM8","O20","NEW",47.19,27.81,12.76,7.22,43.28,31.67,13.17,13,1,0,0,0,"CV","HIGH_MONO","HM8O20",0.41,3.86,-3.91,5.78,0.800554016620499,0.0321316614420063,0.138798993167925,-0.0828565374019919,16745.635764,18051.823992,0.078001710201297,-0.567250780094499
"8","2018_HIGH_MONO_HM8O34_CV","2018_HIGH_MONO_HM8O34_CV","Lab18",2018,"HIGH","MONO","HM8","O34",0,NA,"CV","HM8","O34","NEW",27.27,24.85,6.77,2.63,45.51,28.37,10.16,11.89,0,0,0,0,"CV","HIGH_MONO","HM8O34",3.39,3.52,18.24,9.26,3.52091254752852,0.500738552437223,0.141649899396378,0.668866886688669,4587.754815,13117.765992,1.859299705623,1.76671748243023
"9","2018_HIGH_MONO_HM8O66_CV","2018_HIGH_MONO_HM8O66_CV","Lab18",2018,"HIGH","MONO","HM8","O66",0,NA,"CV","HM8","O66","NEW",34.97,27.27,10.59,4.6,51.45,30.7,11.97,16.45,0,0,0,0,"CV","HIGH_MONO","HM8O66",1.38,3.43,16.48,11.85,2.57608695652174,0.130311614730878,0.125779244591126,0.471261080926509,10098.961821,18906.79455,0.872152294970044,0.473295083247648
"10","2018_HIGH_MONO_HM8Y28_CV","2018_HIGH_MONO_HM8Y28_CV","Lab18",2018,"HIGH","MONO","HM8","Y28",0,NA,"CV","HM8","Y28","NEW",54.77,24.53,15.87,8.29,42.54,27.36,10.48,9.67,0,0,0,0,"CV","HIGH_MONO","HM8Y28",-5.39,2.83,-12.23,1.38,0.166465621230398,-0.339634530560807,0.115368935996739,-0.223297425597955,21321.473547,12197.613312,-0.427918840360063,-1.23013959005451
